hydro_project,timeseries,hydro_avg_flow_mw,hydro_min_flow_mw
SAN CARLOS,2032_Q3_holidays,929.461144,0.67083
SAN CARLOS,2032_Q3_labor,923.123584,0.00496
SANFRANCISCO,2032_Q3_holidays,44.988072,1e-05
SANFRANCISCO,2032_Q3_labor,45.7186028,1e-05
SNMIGUEL,2032_Q3_holidays,32.5697876,16.3355
SNMIGUEL,2032_Q3_labor,28.345968000000003,0.00294
SOGAMOSO,2032_Q3_holidays,537.512694,118.98969
SOGAMOSO,2032_Q3_labor,545.7664496,111.51935
URRA,2032_Q3_holidays,223.304574,74.30389
URRA,2032_Q3_labor,225.4500476,74.20494000000001
AMOYA,2032_Q4_holidays,45.850138799999996,0.007809999999999999
AMOYA,2032_Q4_labor,47.1698728,0.00135
BETANIA,2032_Q4_holidays,60.484288,59.42281
BETANIA,2032_Q4_labor,60.5522796,59.164809999999996
CALIMA,2032_Q4_holidays,87.473652,0.01688
CALIMA,2032_Q4_labor,85.7750848,0.00349
CHIVOR,2032_Q4_holidays,237.219614,0.2471
CHIVOR,2032_Q4_labor,397.1928424,0.00483
CUCUANA,2032_Q4_holidays,22.387537599999998,0.06929
CUCUANA,2032_Q4_labor,21.711906,0.01745
C_LLERAS_R,2032_Q4_holidays,53.404362,3.96478
C_LLERAS_R,2032_Q4_labor,53.22965,0.09328
DARIO VALENC,2032_Q4_holidays,68.901626,0.03696
DARIO VALENC,2032_Q4_labor,95.52780680000001,0.060200000000000004
EL QUIMBO,2032_Q4_holidays,101.0424664,77.49339
EL QUIMBO,2032_Q4_labor,172.015526,8.35747
ESCUELAMINAS,2032_Q4_holidays,35.188086,8.70785
ESCUELAMINAS,2032_Q4_labor,31.812511999999998,2.3851
ESMERALDA,2032_Q4_holidays,29.0311164,8.999999999999999e-05
ESMERALDA,2032_Q4_labor,29.214866,1e-05
GUATAPE,2032_Q4_holidays,411.41856,1.392
GUATAPE,2032_Q4_labor,409.36707359999997,0.672
GUAVIO,2032_Q4_holidays,249.55700879999998,0.00307
GUAVIO,2032_Q4_labor,447.60791720000003,0.00017999999999999998
H_ALBAN,2032_Q4_holidays,226.8,2.16
H_ALBAN,2032_Q4_labor,258.69768,0.08
H_GUATRON,2032_Q4_holidays,430.8968096,3.01
H_GUATRON,2032_Q4_labor,430.2568,0.06
H_PAGUA,2032_Q4_holidays,400.2141632,1e-05
H_PAGUA,2032_Q4_labor,400.14249920000003,1e-05
ITUANGO,2032_Q4_holidays,585.3154768,1.10715
ITUANGO,2032_Q4_labor,599.7483516000001,0.0001
JAGUAS,2032_Q4_holidays,117.176822,8.863010000000001
JAGUAS,2032_Q4_labor,105.402978,0.00079
LA TASAJERA,2032_Q4_holidays,203.27999,7.00333
LA TASAJERA,2032_Q4_labor,203.13329000000002,0.33
MIEL I,2032_Q4_holidays,191.55910199999997,30.96207
MIEL I,2032_Q4_labor,245.18386959999995,0.09197
PLAYAS,2032_Q4_holidays,204.96,0.36
PLAYAS,2032_Q4_labor,204.96,0.01
PORCE II,2032_Q4_holidays,267.95004,0.322
PORCE II,2032_Q4_labor,268.73204,1.334
PORCE III,2032_Q4_holidays,694.276888,0.43562
PORCE III,2032_Q4_labor,607.2423595999999,0.26943
PRADO,2032_Q4_holidays,32.446628399999994,5.9999999999999995e-05
PRADO,2032_Q4_labor,30.2944548,2e-05
SALTO II,2032_Q4_holidays,34.8598748,0.03408
SALTO II,2032_Q4_labor,34.944176,2.9999999999999997e-05
SALVAJINA,2032_Q4_holidays,84.6808544,0.0031
SALVAJINA,2032_Q4_labor,93.7902232,2e-05
SAN CARLOS,2032_Q4_holidays,902.8293588,0.00061
SAN CARLOS,2032_Q4_labor,989.9140656,0.50522
SANFRANCISCO,2032_Q4_holidays,45.70362,1e-05
SANFRANCISCO,2032_Q4_labor,45.5928476,1e-05
SNMIGUEL,2032_Q4_holidays,25.59744,14.317219999999999
SNMIGUEL,2032_Q4_labor,25.5943924,6.051229999999999
SOGAMOSO,2032_Q4_holidays,615.89834,119.49377
SOGAMOSO,2032_Q4_labor,644.5464747999999,116.96358000000001
URRA,2032_Q4_holidays,85.52008199999999,76.51127000000001
URRA,2032_Q4_labor,153.1348748,76.43636000000001
AMOYA,2033_Q1_holidays,39.229088,0.53926
AMOYA,2033_Q1_labor,36.3540388,0.005849999999999999
BETANIA,2033_Q1_holidays,181.5770592,0.00064
BETANIA,2033_Q1_labor,200.6708228,0.23228000000000001
CALIMA,2033_Q1_holidays,99.5799796,0.138
CALIMA,2033_Q1_labor,98.3649824,0.00034
CHIVOR,2033_Q1_holidays,326.992312,0.88719
CHIVOR,2033_Q1_labor,368.07919200000003,0.22623
CUCUANA,2033_Q1_holidays,16.829649600000003,1.3145
CUCUANA,2033_Q1_labor,15.7724384,0.01231
C_LLERAS_R,2033_Q1_holidays,46.7647556,15.555040000000002
C_LLERAS_R,2033_Q1_labor,54.7133488,0.00875
DARIO VALENC,2033_Q1_holidays,75.0111112,2.2503200000000003
DARIO VALENC,2033_Q1_labor,64.1819912,0.0675
EL QUIMBO,2033_Q1_holidays,86.2714564,29.54363
EL QUIMBO,2033_Q1_labor,126.48693679999984,35.24369
ESCUELAMINAS,2033_Q1_holidays,17.724353999999998,10.28117
ESCUELAMINAS,2033_Q1_labor,17.5861436,0.6184299999999999
ESMERALDA,2033_Q1_holidays,29.658658799999998,5.9999999999999995e-05
ESMERALDA,2033_Q1_labor,29.8594024,0.00013000000000000002
GUATAPE,2033_Q1_holidays,528.54336,8.256
GUATAPE,2033_Q1_labor,486.67008000000004,0.84
GUAVIO,2033_Q1_holidays,456.7953084,0.00148
GUAVIO,2033_Q1_labor,779.262028,0.03893
H_ALBAN,2033_Q1_holidays,35.177,0.567
H_ALBAN,2033_Q1_labor,227.04,0.078
H_GUATRON,2033_Q1_holidays,486.22488000000004,2.24973
H_GUATRON,2033_Q1_labor,435.295838,0.05814
H_PAGUA,2033_Q1_holidays,400.3131888,4e-05
H_PAGUA,2033_Q1_labor,399.5096124,1e-05
ITUANGO,2033_Q1_holidays,271.95475480000005,266.86046000000005
ITUANGO,2033_Q1_labor,270.843568,7.16493
JAGUAS,2033_Q1_holidays,101.640896,0.28169
JAGUAS,2033_Q1_labor,101.882002,0.01774
LA TASAJERA,2033_Q1_holidays,303.59997,0.03667
LA TASAJERA,2033_Q1_labor,302.9766484,0.03667
MIEL I,2033_Q1_holidays,272.48969400000004,28.95938
MIEL I,2033_Q1_labor,257.4171112,28.70466
PLAYAS,2033_Q1_holidays,204.94,33.26
PLAYAS,2033_Q1_labor,204.96003,0.03
PORCE II,2033_Q1_holidays,268.82403999999997,4.83
PORCE II,2033_Q1_labor,268.77804,0.23
PORCE III,2033_Q1_holidays,564.27826,6.86746
PORCE III,2033_Q1_labor,589.518446,1.5637
PRADO,2033_Q1_holidays,51.0376796,0.00014000000000000001
PRADO,2033_Q1_labor,50.969582,5.9999999999999995e-05
SALTO II,2033_Q1_holidays,35.05521,0.00013000000000000002
SALTO II,2033_Q1_labor,34.9938484,2e-05
SALVAJINA,2033_Q1_holidays,180.1698428,0.21452000000000002
SALVAJINA,2033_Q1_labor,189.74505,0.17472
SAN CARLOS,2033_Q1_holidays,806.1816084,6.38117
SAN CARLOS,2033_Q1_labor,912.567922,0.04445
SANFRANCISCO,2033_Q1_holidays,23.3857072,1e-05
SANFRANCISCO,2033_Q1_labor,32.395768000000004,1e-05
SNMIGUEL,2033_Q1_holidays,31.2623804,0.0043
SNMIGUEL,2033_Q1_labor,32.132266800000004,0.00281
SOGAMOSO,2033_Q1_holidays,482.274684,117.64746000000001
SOGAMOSO,2033_Q1_labor,486.3419988,116.44197
URRA,2033_Q1_holidays,75.454478,65.10534
URRA,2033_Q1_labor,76.2426928,65.49328
AMOYA,2033_Q2_holidays,53.488918000000005,0.02993
AMOYA,2033_Q2_labor,52.586444,0.0030299999999999997
BETANIA,2033_Q2_holidays,60.63633,59.86174
BETANIA,2033_Q2_labor,181.39471039999998,0.04942
CALIMA,2033_Q2_holidays,15.86952,0.17637
CALIMA,2033_Q2_labor,94.8117716,0.01886
CHIVOR,2033_Q2_holidays,378.4774844,1.0424200000000001
CHIVOR,2033_Q2_labor,560.45884,0.18027
CUCUANA,2033_Q2_holidays,26.349272,0.03008
CUCUANA,2033_Q2_labor,25.553762,0.01995
C_LLERAS_R,2033_Q2_holidays,51.6682616,8.9424
C_LLERAS_R,2033_Q2_labor,53.32712,0.028489999999999998
DARIO VALENC,2033_Q2_holidays,100.63441879999999,0.2733
DARIO VALENC,2033_Q2_labor,99.2476784,0.00464
EL QUIMBO,2033_Q2_holidays,150.9749039999998,76.52663000000001
EL QUIMBO,2033_Q2_labor,171.68110439999998,75.85819000000001
ESCUELAMINAS,2033_Q2_holidays,40.271263999999995,12.45958
ESCUELAMINAS,2033_Q2_labor,38.11097959999999,0.05854
ESMERALDA,2033_Q2_holidays,30.023104,0.0002
ESMERALDA,2033_Q2_labor,29.995438,1e-05
GUATAPE,2033_Q2_holidays,412.003224,4.944
GUATAPE,2033_Q2_labor,412.59648,0.144
GUAVIO,2033_Q2_holidays,484.5012824,0.00874
GUAVIO,2033_Q2_labor,404.56304279999995,0.009859999999999999
H_ALBAN,2033_Q2_holidays,12.030999999999999,3.003
H_ALBAN,2033_Q2_labor,221.01219999999998,0.231
H_GUATRON,2033_Q2_holidays,437.891214,1.38
H_GUATRON,2033_Q2_labor,432.5732508,0.06
H_PAGUA,2033_Q2_holidays,520.018332,0.00117
H_PAGUA,2033_Q2_labor,411.0667988,1e-05
ITUANGO,2033_Q2_holidays,536.1231028,269.33646999999996
ITUANGO,2033_Q2_labor,534.955782,0.00076
JAGUAS,2033_Q2_holidays,95.57408,1.90435
JAGUAS,2033_Q2_labor,85.79136199999999,0.00202
LA TASAJERA,2033_Q2_holidays,202.9499656,4.54667
LA TASAJERA,2033_Q2_labor,203.20662,0.07332999999999999
MIEL I,2033_Q2_holidays,33.038248,29.42719
MIEL I,2033_Q2_labor,32.865663999999995,29.235409999999998
PLAYAS,2033_Q2_holidays,204.89003,0.69
PLAYAS,2033_Q2_labor,204.86,0.07
PORCE II,2033_Q2_holidays,267.71819999999997,3.128
PORCE II,2033_Q2_labor,269.054,0.046
PORCE III,2033_Q2_holidays,603.3286108,0.66625
PORCE III,2033_Q2_labor,588.9037868,0.6147
PRADO,2033_Q2_holidays,51.107824,1e-05
PRADO,2033_Q2_labor,51.1122732,0.00026000000000000003
SALTO II,2033_Q2_holidays,34.8810896,8.999999999999999e-05
SALTO II,2033_Q2_labor,34.879330800000005,0.00025
SALVAJINA,2033_Q2_holidays,94.4708344,0.0033399999999999997
SALVAJINA,2033_Q2_labor,95.033792,0.00123
SAN CARLOS,2033_Q2_holidays,804.6787740000001,3.77677
SAN CARLOS,2033_Q2_labor,929.354872,0.009550000000000001
SANFRANCISCO,2033_Q2_holidays,45.891560000000005,1e-05
SANFRANCISCO,2033_Q2_labor,45.713622,1e-05
SNMIGUEL,2033_Q2_holidays,45.644059999999996,3.21132
SNMIGUEL,2033_Q2_labor,43.6879532,0.89386
SOGAMOSO,2033_Q2_holidays,643.1574559999999,119.89412
SOGAMOSO,2033_Q2_labor,617.467114,119.66494999999999
URRA,2033_Q2_holidays,135.65712000000002,66.17868
URRA,2033_Q2_labor,143.223234,66.28495
AMOYA,2033_Q3_holidays,56.85681159999999,1.4005999999999998
AMOYA,2033_Q3_labor,57.855868799999996,0.0014299999999999998
BETANIA,2033_Q3_holidays,60.571974,59.56069
BETANIA,2033_Q3_labor,235.69542679999995,59.7031
CALIMA,2033_Q3_holidays,72.8859864,2.05197
CALIMA,2033_Q3_labor,104.30860559999999,0.012
CHIVOR,2033_Q3_holidays,752.13418,0.12028
CHIVOR,2033_Q3_labor,751.290348,0.31044
CUCUANA,2033_Q3_holidays,22.643375199999998,0.16174000000000002
CUCUANA,2033_Q3_labor,22.264142,0.014410000000000001
C_LLERAS_R,2033_Q3_holidays,52.2679636,13.59403
C_LLERAS_R,2033_Q3_labor,53.556584,0.16553
DARIO VALENC,2033_Q3_holidays,120.60973199999995,0.2335
DARIO VALENC,2033_Q3_labor,99.18175959999999,0.0077
EL QUIMBO,2033_Q3_holidays,130.93488799999997,80.49195
EL QUIMBO,2033_Q3_labor,199.0381768,29.585459999999998
ESCUELAMINAS,2033_Q3_holidays,30.927227600000002,8.72028
ESCUELAMINAS,2033_Q3_labor,31.23171,1e-05
ESMERALDA,2033_Q3_holidays,21.28717,0.0003
ESMERALDA,2033_Q3_labor,22.1891716,2.9999999999999997e-05
GUATAPE,2033_Q3_holidays,356.6304156,36.24
GUATAPE,2033_Q3_labor,417.64802000000003,0.072
GUAVIO,2033_Q3_holidays,273.81471480000005,5.9999999999999995e-05
GUAVIO,2033_Q3_labor,590.2868027999999,0.00091
H_ALBAN,2033_Q3_holidays,4.0278,2.799
H_ALBAN,2033_Q3_labor,40.35696,2.778
H_GUATRON,2033_Q3_holidays,324.3757836,0.03
H_GUATRON,2033_Q3_labor,413.6374992,0.15
H_PAGUA,2033_Q3_holidays,401.16938280000005,5e-05
H_PAGUA,2033_Q3_labor,397.005718,1e-05
ITUANGO,2033_Q3_holidays,290.8040964,2.29334
ITUANGO,2033_Q3_labor,291.0365236,0.00852
JAGUAS,2033_Q3_holidays,129.09443720000002,1.77504
JAGUAS,2033_Q3_labor,114.6909192,0.02259
LA TASAJERA,2033_Q3_holidays,268.57887680000005,4.98666
LA TASAJERA,2033_Q3_labor,210.2304988,0.36667
MIEL I,2033_Q3_holidays,32.929508,31.7675
MIEL I,2033_Q3_labor,33.150902,21.61449
PLAYAS,2033_Q3_holidays,204.81,0.59
PLAYAS,2033_Q3_labor,204.83,0.06
PORCE II,2033_Q3_holidays,269.606,0.276
PORCE II,2033_Q3_labor,270.296,2.346
PORCE III,2033_Q3_holidays,675.403374,3.13005
PORCE III,2033_Q3_labor,686.3398228,0.00504
PRADO,2033_Q3_holidays,30.4295248,2e-05
PRADO,2033_Q3_labor,42.263093999999995,4e-05
SALTO II,2033_Q3_holidays,22.66330199999998,0.00843
SALTO II,2033_Q3_labor,20.711666800000003,7.000000000000001e-05
SALVAJINA,2033_Q3_holidays,94.63195040000001,0.023280000000000002
SALVAJINA,2033_Q3_labor,94.52671720000001,0.016309999999999998
SAN CARLOS,2033_Q3_holidays,929.461144,0.67083
SAN CARLOS,2033_Q3_labor,923.123584,0.00496
SANFRANCISCO,2033_Q3_holidays,44.988072,1e-05
SANFRANCISCO,2033_Q3_labor,45.7186028,1e-05
SNMIGUEL,2033_Q3_holidays,32.5697876,16.3355
SNMIGUEL,2033_Q3_labor,28.345968000000003,0.00294
SOGAMOSO,2033_Q3_holidays,537.512694,118.98969
SOGAMOSO,2033_Q3_labor,545.7664496,111.51935
URRA,2033_Q3_holidays,223.304574,74.30389
URRA,2033_Q3_labor,225.4500476,74.20494000000001
AMOYA,2033_Q4_holidays,45.850138799999996,0.007809999999999999
AMOYA,2033_Q4_labor,47.1698728,0.00135
BETANIA,2033_Q4_holidays,60.484288,59.42281
BETANIA,2033_Q4_labor,60.5522796,59.164809999999996
CALIMA,2033_Q4_holidays,87.473652,0.01688
CALIMA,2033_Q4_labor,85.7750848,0.00349
CHIVOR,2033_Q4_holidays,237.219614,0.2471
CHIVOR,2033_Q4_labor,397.1928424,0.00483
CUCUANA,2033_Q4_holidays,22.387537599999998,0.06929
CUCUANA,2033_Q4_labor,21.711906,0.01745
C_LLERAS_R,2033_Q4_holidays,53.404362,3.96478
C_LLERAS_R,2033_Q4_labor,53.22965,0.09328
DARIO VALENC,2033_Q4_holidays,68.901626,0.03696
DARIO VALENC,2033_Q4_labor,95.52780680000001,0.060200000000000004
EL QUIMBO,2033_Q4_holidays,101.0424664,77.49339
EL QUIMBO,2033_Q4_labor,172.015526,8.35747
ESCUELAMINAS,2033_Q4_holidays,35.188086,8.70785
ESCUELAMINAS,2033_Q4_labor,31.812511999999998,2.3851
ESMERALDA,2033_Q4_holidays,29.0311164,8.999999999999999e-05
ESMERALDA,2033_Q4_labor,29.214866,1e-05
GUATAPE,2033_Q4_holidays,411.41856,1.392
GUATAPE,2033_Q4_labor,409.36707359999997,0.672
GUAVIO,2033_Q4_holidays,249.55700879999998,0.00307
GUAVIO,2033_Q4_labor,447.60791720000003,0.00017999999999999998
H_ALBAN,2033_Q4_holidays,226.8,2.16
H_ALBAN,2033_Q4_labor,258.69768,0.08
H_GUATRON,2033_Q4_holidays,430.8968096,3.01
H_GUATRON,2033_Q4_labor,430.2568,0.06
H_PAGUA,2033_Q4_holidays,400.2141632,1e-05
H_PAGUA,2033_Q4_labor,400.14249920000003,1e-05
ITUANGO,2033_Q4_holidays,585.3154768,1.10715
ITUANGO,2033_Q4_labor,599.7483516000001,0.0001
JAGUAS,2033_Q4_holidays,117.176822,8.863010000000001
JAGUAS,2033_Q4_labor,105.402978,0.00079
LA TASAJERA,2033_Q4_holidays,203.27999,7.00333
LA TASAJERA,2033_Q4_labor,203.13329000000002,0.33
MIEL I,2033_Q4_holidays,191.55910199999997,30.96207
MIEL I,2033_Q4_labor,245.18386959999995,0.09197
PLAYAS,2033_Q4_holidays,204.96,0.36
PLAYAS,2033_Q4_labor,204.96,0.01
PORCE II,2033_Q4_holidays,267.95004,0.322
PORCE II,2033_Q4_labor,268.73204,1.334
PORCE III,2033_Q4_holidays,694.276888,0.43562
PORCE III,2033_Q4_labor,607.2423595999999,0.26943
PRADO,2033_Q4_holidays,32.446628399999994,5.9999999999999995e-05
PRADO,2033_Q4_labor,30.2944548,2e-05
SALTO II,2033_Q4_holidays,34.8598748,0.03408
SALTO II,2033_Q4_labor,34.944176,2.9999999999999997e-05
SALVAJINA,2033_Q4_holidays,84.6808544,0.0031
SALVAJINA,2033_Q4_labor,93.7902232,2e-05
SAN CARLOS,2033_Q4_holidays,902.8293588,0.00061
SAN CARLOS,2033_Q4_labor,989.9140656,0.50522
SANFRANCISCO,2033_Q4_holidays,45.70362,1e-05
SANFRANCISCO,2033_Q4_labor,45.5928476,1e-05
SNMIGUEL,2033_Q4_holidays,25.59744,14.317219999999999
SNMIGUEL,2033_Q4_labor,25.5943924,6.051229999999999
SOGAMOSO,2033_Q4_holidays,615.89834,119.49377
SOGAMOSO,2033_Q4_labor,644.5464747999999,116.96358000000001
URRA,2033_Q4_holidays,85.52008199999999,76.51127000000001
URRA,2033_Q4_labor,153.1348748,76.43636000000001
AMOYA,2034_Q1_holidays,39.229088,0.53926
AMOYA,2034_Q1_labor,36.3540388,0.005849999999999999
BETANIA,2034_Q1_holidays,181.5770592,0.00064
BETANIA,2034_Q1_labor,200.6708228,0.23228000000000001
CALIMA,2034_Q1_holidays,99.5799796,0.138
CALIMA,2034_Q1_labor,98.3649824,0.00034
CHIVOR,2034_Q1_holidays,326.992312,0.88719
CHIVOR,2034_Q1_labor,368.07919200000003,0.22623
CUCUANA,2034_Q1_holidays,16.829649600000003,1.3145
CUCUANA,2034_Q1_labor,15.7724384,0.01231
C_LLERAS_R,2034_Q1_holidays,46.7647556,15.555040000000002
C_LLERAS_R,2034_Q1_labor,54.7133488,0.00875
DARIO VALENC,2034_Q1_holidays,75.0111112,2.2503200000000003
DARIO VALENC,2034_Q1_labor,64.1819912,0.0675
EL QUIMBO,2034_Q1_holidays,86.2714564,29.54363
EL QUIMBO,2034_Q1_labor,126.48693679999984,35.24369
ESCUELAMINAS,2034_Q1_holidays,17.724353999999998,10.28117
ESCUELAMINAS,2034_Q1_labor,17.5861436,0.6184299999999999
ESMERALDA,2034_Q1_holidays,29.658658799999998,5.9999999999999995e-05
ESMERALDA,2034_Q1_labor,29.8594024,0.00013000000000000002
GUATAPE,2034_Q1_holidays,528.54336,8.256
GUATAPE,2034_Q1_labor,486.67008000000004,0.84
GUAVIO,2034_Q1_holidays,456.7953084,0.00148
GUAVIO,2034_Q1_labor,779.262028,0.03893
H_ALBAN,2034_Q1_holidays,35.177,0.567
H_ALBAN,2034_Q1_labor,227.04,0.078
H_GUATRON,2034_Q1_holidays,486.22488000000004,2.24973
H_GUATRON,2034_Q1_labor,435.295838,0.05814
H_PAGUA,2034_Q1_holidays,400.3131888,4e-05
H_PAGUA,2034_Q1_labor,399.5096124,1e-05
ITUANGO,2034_Q1_holidays,271.95475480000005,266.86046000000005
ITUANGO,2034_Q1_labor,270.843568,7.16493
JAGUAS,2034_Q1_holidays,101.640896,0.28169
JAGUAS,2034_Q1_labor,101.882002,0.01774
LA TASAJERA,2034_Q1_holidays,303.59997,0.03667
LA TASAJERA,2034_Q1_labor,302.9766484,0.03667
MIEL I,2034_Q1_holidays,272.48969400000004,28.95938
MIEL I,2034_Q1_labor,257.4171112,28.70466
PLAYAS,2034_Q1_holidays,204.94,33.26
PLAYAS,2034_Q1_labor,204.96003,0.03
PORCE II,2034_Q1_holidays,268.82403999999997,4.83
PORCE II,2034_Q1_labor,268.77804,0.23
PORCE III,2034_Q1_holidays,564.27826,6.86746
PORCE III,2034_Q1_labor,589.518446,1.5637
PRADO,2034_Q1_holidays,51.0376796,0.00014000000000000001
PRADO,2034_Q1_labor,50.969582,5.9999999999999995e-05
SALTO II,2034_Q1_holidays,35.05521,0.00013000000000000002
SALTO II,2034_Q1_labor,34.9938484,2e-05
SALVAJINA,2034_Q1_holidays,180.1698428,0.21452000000000002
SALVAJINA,2034_Q1_labor,189.74505,0.17472
SAN CARLOS,2034_Q1_holidays,806.1816084,6.38117
SAN CARLOS,2034_Q1_labor,912.567922,0.04445
SANFRANCISCO,2034_Q1_holidays,23.3857072,1e-05
SANFRANCISCO,2034_Q1_labor,32.395768000000004,1e-05
SNMIGUEL,2034_Q1_holidays,31.2623804,0.0043
SNMIGUEL,2034_Q1_labor,32.132266800000004,0.00281
SOGAMOSO,2034_Q1_holidays,482.274684,117.64746000000001
SOGAMOSO,2034_Q1_labor,486.3419988,116.44197
URRA,2034_Q1_holidays,75.454478,65.10534
URRA,2034_Q1_labor,76.2426928,65.49328
AMOYA,2034_Q2_holidays,53.488918000000005,0.02993
AMOYA,2034_Q2_labor,52.586444,0.0030299999999999997
BETANIA,2034_Q2_holidays,60.63633,59.86174
BETANIA,2034_Q2_labor,181.39471039999998,0.04942
CALIMA,2034_Q2_holidays,15.86952,0.17637
CALIMA,2034_Q2_labor,94.8117716,0.01886
CHIVOR,2034_Q2_holidays,378.4774844,1.0424200000000001
CHIVOR,2034_Q2_labor,560.45884,0.18027
CUCUANA,2034_Q2_holidays,26.349272,0.03008
CUCUANA,2034_Q2_labor,25.553762,0.01995
C_LLERAS_R,2034_Q2_holidays,51.6682616,8.9424
C_LLERAS_R,2034_Q2_labor,53.32712,0.028489999999999998
DARIO VALENC,2034_Q2_holidays,100.63441879999999,0.2733
DARIO VALENC,2034_Q2_labor,99.2476784,0.00464
EL QUIMBO,2034_Q2_holidays,150.9749039999998,76.52663000000001
EL QUIMBO,2034_Q2_labor,171.68110439999998,75.85819000000001
ESCUELAMINAS,2034_Q2_holidays,40.271263999999995,12.45958
ESCUELAMINAS,2034_Q2_labor,38.11097959999999,0.05854
ESMERALDA,2034_Q2_holidays,30.023104,0.0002
ESMERALDA,2034_Q2_labor,29.995438,1e-05
GUATAPE,2034_Q2_holidays,412.003224,4.944
GUATAPE,2034_Q2_labor,412.59648,0.144
GUAVIO,2034_Q2_holidays,484.5012824,0.00874
GUAVIO,2034_Q2_labor,404.56304279999995,0.009859999999999999
H_ALBAN,2034_Q2_holidays,12.030999999999999,3.003
H_ALBAN,2034_Q2_labor,221.01219999999998,0.231
H_GUATRON,2034_Q2_holidays,437.891214,1.38
H_GUATRON,2034_Q2_labor,432.5732508,0.06
H_PAGUA,2034_Q2_holidays,520.018332,0.00117
H_PAGUA,2034_Q2_labor,411.0667988,1e-05
ITUANGO,2034_Q2_holidays,536.1231028,269.33646999999996
ITUANGO,2034_Q2_labor,534.955782,0.00076
JAGUAS,2034_Q2_holidays,95.57408,1.90435
JAGUAS,2034_Q2_labor,85.79136199999999,0.00202
LA TASAJERA,2034_Q2_holidays,202.9499656,4.54667
LA TASAJERA,2034_Q2_labor,203.20662,0.07332999999999999
MIEL I,2034_Q2_holidays,33.038248,29.42719
MIEL I,2034_Q2_labor,32.865663999999995,29.235409999999998
PLAYAS,2034_Q2_holidays,204.89003,0.69
PLAYAS,2034_Q2_labor,204.86,0.07
PORCE II,2034_Q2_holidays,267.71819999999997,3.128
PORCE II,2034_Q2_labor,269.054,0.046
PORCE III,2034_Q2_holidays,603.3286108,0.66625
PORCE III,2034_Q2_labor,588.9037868,0.6147
PRADO,2034_Q2_holidays,51.107824,1e-05
PRADO,2034_Q2_labor,51.1122732,0.00026000000000000003
SALTO II,2034_Q2_holidays,34.8810896,8.999999999999999e-05
SALTO II,2034_Q2_labor,34.879330800000005,0.00025
SALVAJINA,2034_Q2_holidays,94.4708344,0.0033399999999999997
SALVAJINA,2034_Q2_labor,95.033792,0.00123
SAN CARLOS,2034_Q2_holidays,804.6787740000001,3.77677
SAN CARLOS,2034_Q2_labor,929.354872,0.009550000000000001
SANFRANCISCO,2034_Q2_holidays,45.891560000000005,1e-05
SANFRANCISCO,2034_Q2_labor,45.713622,1e-05
SNMIGUEL,2034_Q2_holidays,45.644059999999996,3.21132
SNMIGUEL,2034_Q2_labor,43.6879532,0.89386
SOGAMOSO,2034_Q2_holidays,643.1574559999999,119.89412
SOGAMOSO,2034_Q2_labor,617.467114,119.66494999999999
URRA,2034_Q2_holidays,135.65712000000002,66.17868
URRA,2034_Q2_labor,143.223234,66.28495
AMOYA,2034_Q3_holidays,56.85681159999999,1.4005999999999998
AMOYA,2034_Q3_labor,57.855868799999996,0.0014299999999999998
BETANIA,2034_Q3_holidays,60.571974,59.56069
BETANIA,2034_Q3_labor,235.69542679999995,59.7031
CALIMA,2034_Q3_holidays,72.8859864,2.05197
CALIMA,2034_Q3_labor,104.30860559999999,0.012
CHIVOR,2034_Q3_holidays,752.13418,0.12028
CHIVOR,2034_Q3_labor,751.290348,0.31044
CUCUANA,2034_Q3_holidays,22.643375199999998,0.16174000000000002
CUCUANA,2034_Q3_labor,22.264142,0.014410000000000001
C_LLERAS_R,2034_Q3_holidays,52.2679636,13.59403
C_LLERAS_R,2034_Q3_labor,53.556584,0.16553
DARIO VALENC,2034_Q3_holidays,120.60973199999995,0.2335
DARIO VALENC,2034_Q3_labor,99.18175959999999,0.0077
EL QUIMBO,2034_Q3_holidays,130.93488799999997,80.49195
EL QUIMBO,2034_Q3_labor,199.0381768,29.585459999999998
ESCUELAMINAS,2034_Q3_holidays,30.927227600000002,8.72028
ESCUELAMINAS,2034_Q3_labor,31.23171,1e-05
ESMERALDA,2034_Q3_holidays,21.28717,0.0003
ESMERALDA,2034_Q3_labor,22.1891716,2.9999999999999997e-05
GUATAPE,2034_Q3_holidays,356.6304156,36.24
GUATAPE,2034_Q3_labor,417.64802000000003,0.072
GUAVIO,2034_Q3_holidays,273.81471480000005,5.9999999999999995e-05
GUAVIO,2034_Q3_labor,590.2868027999999,0.00091
H_ALBAN,2034_Q3_holidays,4.0278,2.799
H_ALBAN,2034_Q3_labor,40.35696,2.778
H_GUATRON,2034_Q3_holidays,324.3757836,0.03
H_GUATRON,2034_Q3_labor,413.6374992,0.15
H_PAGUA,2034_Q3_holidays,401.16938280000005,5e-05
H_PAGUA,2034_Q3_labor,397.005718,1e-05
ITUANGO,2034_Q3_holidays,290.8040964,2.29334
ITUANGO,2034_Q3_labor,291.0365236,0.00852
JAGUAS,2034_Q3_holidays,129.09443720000002,1.77504
JAGUAS,2034_Q3_labor,114.6909192,0.02259
LA TASAJERA,2034_Q3_holidays,268.57887680000005,4.98666
LA TASAJERA,2034_Q3_labor,210.2304988,0.36667
MIEL I,2034_Q3_holidays,32.929508,31.7675
